budget,genres,original_language,revenue,runtime,vote_average,director
110000000,Action Science Fiction Drama,en,299268508,127.0,6.6,Shawn Levy
105000000,Fantasy Family Comedy Animation,en,347434178,105.0,5.5,Raja Gosnell
160000000,Action Adventure Thriller,en,164508066,121.0,4.1,Jan de Bont
110000000,Science Fiction Action Adventure,en,125537191,114.0,6.6,Gavin Hood
110000000,Action Thriller,en,383531464,128.0,6.4,Len Wiseman
93000000,Adventure Fantasy Action,en,871368364,178.0,8.0,Peter Jackson
110000000,Action Adventure Comedy,en,72178895,120.0,5.7,Frank Coraci
107000000,Drama,en,87713825,157.0,6.7,Michael Mann
0,Comedy Fantasy Family,en,0,82.0,4.9,Bo Welch
120000000,Action Science Fiction,en,347234916,115.0,6.7,Alex Proyas
130000000,Drama Action Adventure History War,en,211643158,144.0,6.6,Ridley Scott
133000000,Animation Fantasy Family Comedy,en,300135367,84.0,5.8,Rob Minkoff
105000000,Romance Family Animation Music,en,267045765,97.0,6.7,Ron Clements
108000000,Drama Adventure Science Fiction,en,630161890,141.0,7.6,Ridley Scott
126000000,Action Thriller Science Fiction Adventure,en,162949164,136.0,6.5,Michael Bay
90000000,Comedy Romance,en,10372291,104.0,3.7,Peter Chelsom
90000000,Action Crime Thriller,en,237202299,118.0,6.1,Dominic Sena
103000000,Action Drama Adventure,en,457640427,155.0,7.9,Ridley Scott
102000000,Action Thriller Science Fiction Mystery,en,358372926,145.0,7.1,Steven Spielberg
100000000,Adventure Fantasy Family,en,876688482,161.0,7.4,Chris Columbus
150000000,Adventure Action Thriller,en,599045960,144.0,7.3,Martin Campbell
100000000,Thriller Science Fiction Action Adventure,en,362211740,119.0,5.6,Tim Burton
100000000,Action Thriller Science Fiction,en,520000000,137.0,7.7,James Cameron
80000000,History Crime Drama,en,214104620,140.0,6.5,Michael Mann
100000000,Drama Crime,en,266465037,157.0,7.4,Ridley Scott
115000000,Action Thriller,en,378882411,141.0,6.8,James Cameron
100000000,Thriller Drama Crime,en,150166126,106.0,6.2,Tony Scott
100000000,Comedy Romance,en,310650585,98.0,5.4,Paul Weitz
100000000,Action Comedy Crime,en,170432927,107.0,6.1,Adam McKay
100000000,Action Drama Mystery Thriller,en,242295562,115.0,5.6,Chuck Russell
100000000,Drama Western,en,425368238,165.0,7.8,Quentin Tarantino
100000000,Drama Animation Family,en,100138851,91.0,6.8,Gary Trousdale
100000000,Adventure Animation Comedy Family Fantasy,en,169327687,78.0,7.2,Mark Dindal
100000000,Action Adventure Thriller,en,312573423,103.0,6.1,Simon West
100000000,Adventure Action Thriller Mystery,en,347451894,131.0,6.4,Jon Turteltaub
100000000,Fantasy Action Adventure Family,en,249288105,104.0,4.9,Stefen Fangmeier
100000000,Family Fantasy,en,100086793,101.0,6.4,Spike Jonze
100000000,Animation Adventure Family Fantasy,en,268426634,102.0,6.4,Chris Wedge
100000000,Action Thriller Romance,en,278731369,103.0,6.0,Florian Henckel von Donnersmarck
100000000,Action Fantasy Horror Mystery,en,211989043,121.0,5.5,Peter Hyams
100000000,Drama Thriller Action,en,170877916,143.0,7.3,Edward Zwick
100000000,Crime Drama Comedy,en,392000694,180.0,7.9,Martin Scorsese
100000000,Action Crime Fantasy,en,336529144,121.0,5.2,Joel Schumacher
105000000,Adventure Action Thriller Science Fiction,en,121214377,129.0,6.7,Paul Verhoeven
102000000,Drama Science Fiction,en,130482868,172.0,6.6,Tom Tykwer
80000000,Animation Adventure Family Fantasy,en,140073390,97.0,6.5,Zack Snyder
100000000,Action Crime,en,82102379,104.0,4.2,Pitof
100000000,Action Adventure,en,243400000,99.0,5.6,Brett Ratner
140000000,Adventure Animation Family Fantasy Science Fiction,en,109578115,95.0,7.2,Ron Clements
100000000,Adventure Comedy Science Fiction,en,68688831,102.0,5.3,Brad Silberling
90000000,Action Adventure Thriller,en,206172544,127.0,6.1,Patrick Hughes
105000000,Action Crime Thriller,en,133718711,114.0,5.5,Ericson Core
84000000,Fantasy Comedy Family Adventure,en,0,94.0,3.6,Lawrence Guterman
100000000,Thriller Drama Adventure Action History,en,93820758,122.0,6.5,Ron Howard
100000000,Action Comedy Science Fiction,en,7103973,95.0,4.4,Ron Underwood
100000000,War Action Adventure Drama Thriller,en,94882889,115.0,6.4,Paul Greengrass
99000000,Animation,en,246233113,88.0,6.5,Steve Martino
10000000,Crime Drama Mystery Thriller,en,13835130,110.0,7.1,David Mamet
98000000,Adventure Action Fantasy,en,433013274,130.0,6.0,Stephen Sommers
100000000,Drama History Crime,en,193772504,167.0,7.1,Martin Scorsese
94000000,Drama History War,zh,95311434,145.0,7.1,Zhang Yimou
85000000,Animation Comedy Family,en,149044513,85.0,5.9,Ash Brannon
90000000,Action Comedy Science Fiction,en,102000000,93.0,5.4,Frank Oz
92000000,Action History War,en,172989651,144.0,7.2,Ridley Scott
0,Comedy,en,104907746,85.0,5.6,Jay Roach
