budget,original_language,popularity,revenue,runtime,vote_average,vote_count,director,critique_success
92000000,en,77.817571,631442092,115,7.4,5152,Brad Bird,1
98000000,en,7.029308,10017322,119,5.7,136,Renny Harlin,0
95000000,en,61.121717,226497209,118,6,2010,Chris Columbus,0
90000000,en,104.121555,589390539,98,6.9,4412,Barry Sonnenfeld,1
90000000,en,73.575118,497366869,92,7.3,3806,John Lasseter,1
100000000,en,37.698465,167805466,98,6.3,1165,Tony Scott,1
90000000,en,35.814765,347325802,90,6.4,1054,Brett Ratner,1
100000000,en,15.835672,155464351,130,6.3,488,Robert Zemeckis,1
100000000,en,46.781182,242988466,90,6.5,1747,Phil Lord,1
90000000,en,69.457898,886686817,94,6.5,2271,Carlos Saldanha,1
90000000,en,43.348022,188133322,114,7,3144,Ben Stiller,1
92000000,en,40.20395,264105545,98,5.6,1232,McG,0
90000000,en,63.429157,289847354,151,7.9,4339,Martin Scorsese,1
90000000,en,67.427755,304320254,88,7.6,2008,Tony Bancroft,1
92000000,en,43.192048,188072649,107,6.5,1667,Ben Stiller,1
90000000,en,47.651083,232617430,158,7.2,2434,David Fincher,1
90000000,en,51.881077,366101666,128,6.9,2066,John McTiernan,1
90000000,en,57.834787,524028679,128,7,5766,Guy Ritchie,1
100000000,en,29.608322,94061311,125,5.3,621,Timur Bekmambetov,0
120000000,en,51.548589,186053725,95,6.7,1224,Gary Trousdale,1
0,en,27.867368,233755553,92,5.8,428,Walt Becker,0
75000000,en,38.832842,200276000,121,6.7,1173,Bryan Singer,1
90000000,en,40.597344,201596308,113,5.5,1048,Dennis Dugan,0
88000000,en,140.849495,243637091,105,5.6,2513,Chris Columbus,0
100000000,en,34.035114,235926552,146,6.8,1974,Steven Spielberg,1
90000000,en,16.302378,182290266,99,5.2,466,Rob Minkoff,0
90000000,en,55.249434,171120329,150,7.2,1308,Robert Zemeckis,1
95000000,en,28.200874,190213455,112,5.6,634,Paul Verhoeven,0
80000000,en,18.69984,162944923,128,6.2,392,Sydney Pollack,1
90000000,en,40.262261,174578751,106,5.9,1648,Thor Freudenthal,0
95000000,en,56.811056,156505388,117,5.5,1418,Jan de Bont,0
90000000,en,51.535701,334901337,129,6.7,3235,Jon M. Chu,1
68000000,en,20.913852,118063304,116,5.9,302,Phillip Noyce,0
92000000,en,27.166757,143049560,126,6.8,579,Tony Scott,1
90000000,en,16.058284,60874615,114,5.7,369,Brian De Palma,0
90000000,en,46.200042,484635760,96,6.5,2166,Carlos Saldanha,1
100000000,en,24.939295,93700000,131,6.9,963,Chris Columbus,1
90000000,en,19.836124,0,104,5.2,376,Mick Jackson,0
90000000,en,15.350451,140807547,107,5.9,290,Alan J. Pakula,0
100000000,en,15.625949,35168966,138,6.1,264,Kathryn Bigelow,1
20000000,en,31.802807,79114085,129,6.6,650,John Milius,1
88000000,en,24.100863,108539911,144,7.3,616,Ron Howard,1
90000000,en,3.593349,16178959,110,5.4,50,Andrei Konchalovsky,0
87000000,en,14.824166,148336445,141,6.7,216,Gary Ross,1
92000000,en,32.079995,494471524,113,6.1,950,Jan de Bont,1
90000000,en,57.739713,429632142,143,7.5,3218,Robert Zemeckis,1
100000000,en,37.272385,384335608,108,5.9,1410,George Miller,0
75000000,en,53.213931,288500217,108,7.2,2825,Paul Greengrass,1
85000000,en,36.38795,315156409,124,6.2,840,Wolfgang Petersen,1
85000000,en,60.929352,450717150,116,7.2,3783,Steven Soderbergh,1
75000000,en,36.605246,132274484,110,5.6,924,Paul W.S. Anderson,0
85000000,en,56.257411,358375603,91,6.8,2566,Genndy Tartakovsky,1
85000000,en,29.21998,340487652,107,6.6,1449,Kevin Lima,1
85000000,en,34.773106,208076205,115,6.3,1345,Daniel Espinosa,1
85000000,en,9.895061,183611771,100,5.1,313,Kevin Lima,0
75000000,en,36.743324,152930623,104,5.8,932,Brett Ratner,0
85000000,en,44.967453,194168700,136,6.7,1225,Nancy Meyers,1
90000000,en,41.207568,250649836,132,6.7,1240,Tony Scott,1
85000000,en,16.479851,219103655,121,6.2,360,Nancy Meyers,1
85000000,en,42.069993,311312624,122,6.5,1999,Steven Soderbergh,1
85000000,en,26.61951,197309027,83,6.1,656,Jill Culton,1
