budget,genres,original_language,revenue,runtime,vote_count,director,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Movie,Music,Mystery,Romance,Science,TV,Thriller,War,Western,succes_critique
34000000,Drama Comedy Romance,en,19693891,108.0,63,Mike Tollin,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
0,Drama Crime Thriller,en,0,121.0,187,Sam Raimi,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
17000000,Horror Thriller,en,0,89.0,74,Robert Harmon,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.0
0,Comedy,en,0,89.0,17,Trent Cooper,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
0,Family,en,0,73.0,14,Gary Halvorson,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
17000000,Crime Drama Thriller,en,29536299,133.0,293,Antoine Fuqua,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
17000000,Action Drama History,en,10000000,154.0,36,Nicholas Ray,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0
17000000,Horror,en,97542952,91.0,1723,Fede Alvarez,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
17000000,Comedy Romance,en,20455276,95.0,101,Donald Petrie,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
17000000,Comedy Drama Family,en,7314027,107.0,95,Paul Weitz,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
17000000,Action Adventure Science Fiction,en,19300000,90.0,318,Sidney J. Furie,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0
0,Drama,en,0,94.0,6,Ian Iqbal Rashid,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
17000000,Action Crime Drama Thriller,en,9500000,122.0,331,Wayne Kramer,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
0,Drama,en,0,120.0,19,Rowdy Herrington,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
17000000,Adventure,en,0,97.0,15,Jim Goddard,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
40000000,Fantasy Drama Thriller Romance,en,86915017,110.0,1615,Neil Burger,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0
17000000,Adventure Thriller,en,2000000,102.0,19,Noel Marshall,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
17000000,Drama Crime Thriller,en,1569918,98.0,59,Joel Schumacher,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
17000000,Thriller Romance,en,3758328,120.0,271,Andrea Di Stefano,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.0
17000000,Action Adventure Comedy Drama Science Fiction,en,374743,144.0,153,Richard Kelly,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0
15000000,Animation Family,fr,0,80.0,129,Guillaume Ivernel,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
17000000,Action Adventure Science Fiction,en,8720000,91.0,27,Jack Smight,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0
17000000,Horror Thriller,en,9627492,82.0,140,Todd Lincoln ,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.0
16500000,Comedy Drama Family,en,0,102.0,428,Howard Zieff,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
