budget,original_language,popularity,runtime,vote_average,vote_count,director,success
0,en,19.83683,97.0,6.7,333,Barry Cook,0
90000000,en,36.069611,178.0,6.9,1147,Martin Brest,0
85000000,en,18.827753,108.0,5.5,427,Andrew Davis,0
0,en,5.159407,123.0,7.3,85,Bob Fosse,0
85000000,en,48.126297,106.0,5.5,1114,Tarsem Singh,1
60000000,en,38.885195,112.0,7.2,2126,Edgar Wright,0
60000000,en,29.211255,136.0,5.4,516,Jon Amiel,0
84000000,en,17.783361,106.0,4.7,332,Peter Segal,0
84000000,en,31.435539,88.0,5.4,820,Raja Gosnell,1
50000000,en,57.67393199999999,95.0,6.6,1940,Pete Travis,0
82500000,en,41.176631,107.0,6.0,2104,Frank Coraci,1
8000000,en,13.661289000000002,120.0,6.7,226,George A. Romero,0
85000000,en,11.77398,82.0,4.9,119,Brad Peyton,0
85000000,en,21.218000000000004,88.0,5.9,1799,Doug Liman,1
85000000,en,58.57976,120.0,6.5,1527,Guillermo del Toro,1
65000000,en,51.970905,157.0,7.3,2023,David Fincher,0
82000000,en,18.447479,123.0,5.7,595,Roger Spottiswoode,0
80000000,en,109.68478799999998,101.0,6.4,3012,Tom Shadyac,1
80000000,en,77.58066099999998,103.0,6.0,2926,Sylvester Stallone,1
80000000,en,75.290998,110.0,6.7,2631,Brian De Palma,1
75000000,en,68.550698,142.0,6.9,9455,Gary Ross,1
80000000,en,58.040149,102.0,6.2,3739,Todd Phillips,1
