budget,genres,original_language,runtime,vote_average,director,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Movie,Music,Mystery,Romance,Science,TV,Thriller,War,Western,succes_commercial
200000000,Animation Family,en,104.0,7.0,Dan Scanlon,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
150000000,Science Fiction Action Adventure,en,150.0,6.0,Michael Bay,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
210000000,Science Fiction Action Adventure,en,165.0,5.8,Michael Bay,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
200000000,Fantasy Adventure Family,en,130.0,5.7,Sam Raimi,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,Action Adventure Fantasy,en,142.0,6.5,Marc Webb,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
170000000,Adventure Action Science Fiction,en,125.0,6.3,Joseph Kosinski,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
200000000,Animation Family Adventure Comedy,en,106.0,5.8,John Lasseter,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,Adventure Action Thriller Science Fiction,en,114.0,5.1,Martin Campbell,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0
200000000,Animation Family Comedy,en,103.0,7.6,Lee Unkrich,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,Action Science Fiction Thriller,en,115.0,5.9,McG,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,1
190000000,Action,en,137.0,7.3,James Wan,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,Action Drama Horror Science Fiction Thriller,en,116.0,6.7,Marc Forster,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,1
250000000,Action Adventure Fantasy Science Fiction,en,131.0,7.5,Bryan Singer,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,1
190000000,Action Adventure Science Fiction,en,132.0,7.4,J.J. Abrams,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
195000000,Action Family Fantasy,en,114.0,5.5,Bryan Singer,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
105000000,Drama Romance,en,143.0,7.3,Baz Luhrmann,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
150000000,Adventure Fantasy Action Romance,en,116.0,6.2,Mike Newell,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1
180000000,Action Science Fiction Adventure,en,131.0,6.7,Guillermo del Toro,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
195000000,Action Science Fiction Adventure,en,154.0,6.1,Michael Bay,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
185000000,Adventure Action,en,122.0,5.7,Steven Spielberg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
175000000,Adventure Animation Family,en,93.0,6.6,Peter Sohn,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
185000000,Animation Adventure Comedy Family Action,en,93.0,6.7,Brenda Chapman,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
185000000,Action Adventure Science Fiction,en,122.0,6.6,Justin Lin,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
180000000,Animation Family,en,98.0,7.8,Andrew Stanton,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
140000000,Action Comedy Crime Thriller,en,91.0,6.1,Brett Ratner,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
200000000,Action Adventure Science Fiction,en,158.0,5.6,Roland Emmerich,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
